scenario,baseline,run,recv,lost,loss_rate,reorder,rohc_ok,rohc_fail,raw,parse_err,avg_hdr_ratio_cloud,avg_hdr_ratio_stack,avg_hdr_ratio_tunnel,avg_total_ratio_cloud,e2e_latency_ms_avg,e2e_latency_ms_p95,e2e_latency_ms_p99,e2e_latency_samples,packet_count,rohc_raw_packets,rohc_ok_packets,rohc_mode_change_count,rohc_mode_change_rate,sid_avg,sid_change_count,sid_change_rate,seq_recv,seq_expected,seq_lost,seq_loss_rate,seq_reorder_count,seq_reorder_rate,seq_flow_count,seq_reorder_rate_flow_mean,seq_reorder_rate_flow_max,recv_stats,lost_stats,loss_rate_stats,loss_rate_true_stats,loss_rate_eff_stats,loss_rate_stats_last,loss_rate_true_stats_last,loss_rate_eff_stats_last,rohc_parse_fail_rate,policy_eval,policy_param_change,policy_sid_change,policy_param_rate,policy_sid_rate,gw_hdr_ratio_avg,gw_total_ratio_avg,gw_samples,gw_hdr_ratio_tail_avg,gw_total_ratio_tail_avg,gw_samples_tail
S2,B4,2,896,3,0.3337041156840934,2,879,0,0,0,83.78636363636363,89.71435854479121,74.15857636852341,65.59772727272727,30.4921914893617,39.303999999999995,40.088300000000004,940,896,0,896,0,0.0,1.0,0,0.0,896,899,3,0.3337041156840934,2,0.22321428571428573,5,0.0,0.0,880,5,0.47113636363636363,0.24431818181818182,0.740909090909091,0.56,0.34,0.45,0.0,800,0,0,0.0,0.0,87.24037819799777,68.27252502780868,899,88.3,69.12400000000001,50
S2,B4,3,899,4,0.4429678848283499,3,879,0,0,0,83.54772727272727,89.54291941692833,74.01678892708173,65.39318181818182,30.587560975609755,39.279,40.153200000000005,943,899,0,899,0,0.0,1.0,0,0.0,899,903,4,0.4429678848283499,3,0.3337041156840934,5,0.0,0.0,880,7,0.8438636363636364,0.7345454545454545,1.2277272727272728,0.79,0.45,0.57,0.0,800,0,0,0.0,0.0,87.0532668881506,68.12990033222592,903,88.3,69.08800000000001,50
S3,B1,1,872,25,2.787068004459309,2,0,0,859,0,0.0,,,0.0,79.78553005464481,97.775,99.7344,915,872,872,0,0,0.0,,0,,872,897,25,2.787068004459309,2,0.22935779816513763,5,0.0,0.0,860,26,2.975348837209302,2.6348837209302327,3.125813953488372,2.93,2.71,2.83,0.0,800,0,0,0.0,0.0,,,,,,
S3,B1,2,887,15,1.6629711751662972,4,0,0,879,0,0.0,,,0.0,80.23397422126746,98.3,99.991,931,887,887,0,0,0.0,,0,,887,902,15,1.6629711751662972,4,0.4509582863585118,5,0.0,0.0,880,19,2.0934090909090908,1.776590909090909,2.2627272727272727,2.11,1.68,1.79,0.0,800,0,0,0.0,0.0,,,,,,
S3,B1,3,877,20,2.229654403567447,2,0,0,859,0,0.0,,,0.0,80.41498913043478,97.52149999999999,99.5705,920,877,877,0,0,0.0,,0,,877,897,20,2.229654403567447,2,0.22805017103762829,5,0.0,0.0,860,22,2.0106976744186045,1.9746511627906977,2.4758139534883723,2.49,2.27,2.39,0.0,800,0,0,0.0,0.0,,,,,,
S3,B2,1,877,22,2.447163515016685,4,0,0,859,0,0.0,,,0.0,80.09790217391304,98.54050000000001,99.9924,920,877,877,0,0,0.0,1.0,0,0.0,877,899,22,2.447163515016685,4,0.45610034207525657,5,0.0,0.0,860,26,2.802093023255814,2.166046511627907,2.6669767441860466,2.93,2.49,2.61,0.0,800,0,0,0.0,0.0,,,,,,
S3,B2,2,885,18,1.9933554817275747,5,0,0,879,0,0.0,,,0.0,80.21240043057051,98.588,99.8292,929,885,885,0,0,0.0,1.0,0,0.0,885,903,18,1.9933554817275747,5,0.5649717514124294,5,0.0,0.0,880,23,2.372272727272727,1.8725,2.36,2.55,2.0,2.12,0.0,800,0,0,0.0,0.0,,,,,,
S3,B2,3,884,13,1.4492753623188406,4,0,0,879,0,0.0,,,0.0,79.98287715517242,97.706,99.8065,928,884,884,0,0,0.0,1.0,0,0.0,884,897,13,1.4492753623188406,4,0.45248868778280543,5,0.0,0.0,880,17,2.509318181818182,2.131136363636364,2.600681818181818,1.9,1.46,1.57,0.0,800,0,0,0.0,0.0,,,,,,
S3,B3,1,879,20,2.2246941045606228,2,859,0,0,0,83.80465116279069,89.62295698533516,74.08296572202343,65.6046511627907,80.7262147505423,98.31899999999999,99.8537,922,879,0,879,0,0.0,1.0,0,0.0,879,899,20,2.2246941045606228,2,0.22753128555176336,5,0.0,0.0,860,22,2.574418604651163,2.5388372093023257,3.033255813953488,2.49,2.27,2.39,0.0,800,0,0,0.0,0.0,87.14404894327029,68.19855394883204,899,88.3,69.08800000000001,50
S3,B3,2,878,22,2.4444444444444446,5,859,0,0,0,83.7046511627907,89.54897020820395,74.02176767628613,65.51627906976744,80.5356894679696,98.1,99.998,921,878,0,878,0,0.0,1.0,0,0.0,878,900,22,2.4444444444444446,5,0.5694760820045558,5,0.0,0.0,860,27,2.8330232558139534,1.9393023255813953,2.4406976744186046,3.04,2.49,2.61,0.0,800,0,0,0.0,0.0,87.0491111111111,68.13066666666667,900,88.3,69.12400000000001,50
