p,p_percent,accept_prob,reject_prob,inconclusive_prob
0.097,9.700000000000001,0.13628579347838185,0.03220751595706304,0.8315066905645551
0.098,9.8,0.12299435637190925,0.03738411675035233,0.8396215268777384
0.099,9.9,0.11070979696910489,0.043182734631676184,0.8461074683992189
0.1,10.0,0.09939442989639095,0.0496448526269379,0.8509607174766712
0.101,10.100000000000001,0.08900660367591402,0.05681018922752941,0.8541832070965565
0.102,10.2,0.07950159655611902,0.06471604978929611,0.8557823536545849
0.103,10.299999999999999,0.07083245699572473,0.07339667272140636,0.8557708702828689
0.104,10.4,0.06295077983882436,0.08288258361108453,0.8541666365500911
0.105,10.5,0.055807411828239256,0.09319997085157032,0.8509926173201905
0.106,10.6,0.04935308251019306,0.10437009639648674,0.8462768210933201
0.107,10.7,0.043538958746591284,0.11640875494334865,0.84005228631006
0.108,10.8,0.038317122946338794,0.12932579415455456,0.8323570828991066
0.109,10.9,0.03364097674147119,0.1431247074712533,0.8232343157872756
0.11,11.0,0.029465573165554336,0.15780230969184258,0.8127321171426031
0.111,11.1,0.025747881448071462,0.1733485038115871,0.8009036147403414
0.112,11.200000000000001,0.022446989333973173,0.18974614570194448,0.7878068649640824
0.113,11.3,0.01952424839235962,0.20697101110440158,0.7735047405032387
0.114,11.4,0.016943368116457306,0.22499186718629033,0.7580647646972523
0.115,11.5,0.014670464765166823,0.24377064862112646,0.7415588866137066
0.116,11.600000000000001,0.012674070882081013,0.263262735879723,0.724063193238196
0.117,11.700000000000001,0.010925111278668312,0.2834173312160345,0.7056575575052971
0.118,11.799999999999999,0.009396851011017386,0.30417792576444475,0.6864252232245378
0.119,11.899999999999999,0.008064820539316155,0.3254828492884856,0.6664523301721983
0.12,12.0,0.006906722859162388,0.3472658924827282,0.6458273846581094
0.121,12.1,0.0059023269545002595,0.36945699036880797,0.6246406826766918
0.122,12.2,0.0050333514614463275,0.39198295427233365,0.60298369426622
0.123,12.3,0.004283341965812924,0.4147682391386648,0.5809484188955223
0.124,12.4,0.003637544897397449,0.43773573255012116,0.5586267225524815
0.125,12.5,0.0030827805411941314,0.46080755174339993,0.5361096677154059
0.126,12.6,0.0026073172673464194,0.48390583518135566,0.5134868475512979
0.127,12.7,0.0022007486935166653,0.5069535157878367,0.49084573551864663
0.128,12.8,0.0018538751391358732,0.5298750637791416,0.46827106108172256
0.129,12.9,0.001558590412821474,0.5525971880864858,0.4458442215006927
0.13,13.0,0.0013077746928602965,0.5750494866214494,0.42364273868569036
0.131,13.100000000000001,0.0010951940156760406,0.5971650370477961,0.40173976893652785
0.132,13.200000000000001,0.0009154066773866725,0.6188809212443737,0.3802036720782397
0.133,13.3,0.000763676676989416,0.6401386782301902,0.3590976450928204
0.134,13.4,0.0006358941839969841,0.6608846819314255,0.3384794238845775
0.135,13.5,0.000528502895783408,0.6810704417595189,0.31840105534469765
0.136,13.600000000000001,0.00043843405760660544,0.7006528255030159,0.29890874043937754
0.137,13.700000000000001,0.00036304684832659854,0.7195942054795639,0.28004274767210957
0.138,13.8,0.00030007478434065547,0.737862530220997,0.2618373949946623
0.139,13.900000000000002,0.00024757776042570484,0.7554313251505411,0.24432109708903316
0.14,14.000000000000002,0.0002038993263934486,0.7722796267397104,0.22751647393389618
0.141,14.099999999999998,0.0001676287903030215,0.7883918554920951,0.2114405157176018
0.142,14.2,0.00013756774024045745,0.8037576337853826,0.196104798474377
0.143,14.299999999999999,0.00011270058539792649,0.8183715551106769,0.18151574430392514
0.144,14.399999999999999,9.216873163864912e-05,0.8322329115830848,0.1676749196852766
0.145,14.499999999999998,7.524802541595349e-05,0.8453453867671634,0.15457936520742066
0.146,14.6,6.132912154718765e-05,0.8577167208759778,0.14222195000247495
0.147,14.7,4.990045385038519e-05,0.8693583552777211,0.13059174426842857
0.148,14.799999999999999,4.053351214676836e-05,0.8802850629945409,0.11967440349331238
0.149,14.899999999999999,3.287015389775651e-05,0.8905145715221957,0.10945255832390655
0.15,15.0,2.6611703213631057e-05,0.9000671838547104,0.09990620444207599
0.151,15.1,2.150961370594549e-05,0.9089654030839532,0.09101308730234081
0.152,15.2,1.7357494333496354e-05,0.9172335653783082,0.08274907712735824
0.153,15.299999999999999,1.3984318784043266e-05,0.924897485544691,0.07508853013652494
0.154,15.4,1.1248658892478387e-05,0.9319841187611909,0.06800463257991662
0.155,15.5,9.0338010375194e-06,0.9385212414476438,0.06146972475131862
0.156,15.6,7.243621352398879e-06,0.9445371536328093,0.05545560274583827
0.157,15.7,5.79911094076235e-06,0.9500604045901551,0.049933796298904154
0.158,15.8,4.635456148853837e-06,0.9551195429603277,0.044875821583523434
0.159,15.9,3.6995913740069363e-06,0.9597428920637691,0.04025340834485691
0.16,16.0,2.9481529686724023e-06,0.963958350638396,0.03603870120863539
0.161,16.1,2.345772620403307e-06,0.967793218818615,0.03220443540876461
0.162,16.2,1.8636572489695812e-06,0.9712740488058906,0.0287240875368604
0.163,16.3,1.4784100618525478e-06,0.9744265193678954,0.02557200222204281
0.164,16.400000000000002,1.171054047874219e-06,0.9772753330437474,0.022723495902204793
0.165,16.5,9.262249619071326e-07,0.9798441347243825,0.020154939050655574
0.166,16.6,7.315058533564783e-07,0.9821554501179616,0.017843818376185094
0.167,16.7,5.768795038020947e-07,0.9842306424968499,0.015768780623646284
0.168,16.8,4.5427884508124317e-07,0.9860898860513584,0.013909659669796515
0.169,16.900000000000002,3.572186019262386e-07,0.9877521541422903,0.01224748863910774
0.17,17.0,2.8049411017363066e-07,0.9892352207441119,0.010764498761777985
0.171,17.1,2.1993556313388242e-07,0.990555673399715,0.009444106664721952
0.172,17.2,1.7220788924590578e-07,0.9917289360610423,0.00827089173106843
0.173,17.299999999999997,1.3464811195011128e-07,0.992769300262951,0.0072305650889370465
0.174,17.4,1.0513343051393658e-07,0.9936899631675812,0.0063099316989883025
0.175,17.5,8.197442588543457e-08,0.9945030711152342,0.005496846910339914
0.176,17.599999999999998,6.382877136684065e-08,0.9952197674306803,0.004780168740548318
0.177,17.7,4.9631642548794436e-08,0.9958502433431449,0.004149707025212557
0.178,17.8,3.8539699255931475e-08,0.9964037909997074,0.003596170460593351
0.179,17.9,2.98860755340296e-08,0.9968888576628576,0.0031111124510668775
0.18,18.0,2.3144280248507587e-08,0.9973131003015012,0.002686876554218509
0.181,18.099999999999998,1.7899296293909344e-08,0.9976834398892606,0.0023165422114431733
0.182,18.2,1.3824484044247862e-08,0.9980061148330949,0.0019938713424211274
0.183,18.3,1.0663155793225397e-08,0.9982867330477514,0.0017132562890928016
0.184,18.4,8.213902084504432e-09,0.9985303222867354,0.001469669499362447
0.185,18.5,6.318926052913136e-09,0.9987413784183854,0.001258615262688556
0.186,18.6,4.854784936856573e-09,0.9989239114148883,0.001076083730326749
0.187,18.7,3.7250544280418027e-09,0.9990814888838854,0.0009185073910602526
0.188,18.8,2.8545262096457946e-09,0.9992172770358225,0.0007827201096513026
0.189,18.9,2.1846258181834677e-09,0.9993340790263128,0.0006659187890614149
0.19,19.0,1.6698000993074064e-09,0.9994343706614328,0.0005656276687671102
0.191,19.1,1.2746737029462701e-09,0.9995203334855823,0.0004796652397439649
0.192,19.2,9.718144971339068e-10,0.9995938853074167,0.00040611372076881924
0.193,19.3,7.399802976086085e-10,0.999656708238509,0.00034329102151064994
0.194,19.400000000000002,5.627454093943167e-10,0.9997102743443546,0.00028972509290003945
0.195,19.5,4.2742638277692296e-10,0.9997558690166327,0.00024413055594085797
0.196,19.6,3.2424310011564974e-10,0.9997946121915263,0.00020538748423060138
0.197,19.7,2.4566464681570877e-10,0.9998274775407188,0.00017252221361663267
0.198,19.8,1.859000418252506e-10,0.9998553097706449,0.00014469004345507575
0.199,19.900000000000002,1.40502347070965e-10,0.9998788401618177,0.00012115969767989565
0.2,20.0,1.0606137556261905e-10,0.9998987004841794,0.00010129940975922569
0.201,20.1,7.996552490851933e-11,0.9999154354166009,8.45645034336373e-05
0.202,20.200000000000003,6.02174588917906e-11,0.999929513599792,7.048633999051646e-05
0.203,20.3,4.52916713075656e-11,0.9999413374414897,5.866251321862137e-05
0.204,20.4,3.402457527429607e-11,0.9999512517916366,4.8748174338864025e-05
0.205,20.5,2.5529813190513088e-11,0.9999595515943551,4.044838011507679e-05
0.206,20.599999999999998,1.913309358924641e-11,0.9999664886201711,3.3511360695737125e-05
0.207,20.7,1.4322123929471201e-11,0.9999722773724169,2.7722613261005336e-05
0.208,20.8,1.0708196497159503e-11,0.9999771002555058,2.289973378599708e-05
0.209,20.9,7.996756523000408e-12,0.9999811120859868,1.8887906016451517e-05
0.21,21.0,5.964883674040125e-12,0.9999844440197363,1.5555974298808728e-05
0.211,21.099999999999998,4.444086867470858e-12,0.9999872069625796,1.2793032976299301e-05
0.212,21.2,3.307176795620534e-12,0.9999894945249702,1.0505471722654924e-05
0.213,21.3,2.4582634184883874e-12,0.9999913855757396,8.614421802111139e-06
0.214,21.4,1.8251448863800706e-12,0.999992946443994,7.053554180957988e-06
0.215,21.5,1.3535239621612499e-12,0.9999942328133331,5.76718531342113e-06
0.216,21.6,1.0026190398044e-12,0.9999952913477689,4.708651228479965e-06
0.217,21.7,7.418379234400871e-13,0.9999961610841425,3.838915115683683e-06
0.218,21.8,5.482603707111734e-13,0.9999968746219252,3.1253775265582817e-06
0.219,21.9,4.047352637754677e-13,0.9999974591378815,2.540861713695719e-06
0.22,22.0,2.9844423509045065e-13,0.9999979372492483,2.06275045322446e-06
