p,accept_prob,reject_prob,inconclusive_prob
0.223,1.1885100945916974e-13,0.9999989055614698,1.0944384113420469e-06
0.224,8.724533001572079e-14,0.9999991164517327,8.835481800639755e-07
0.225,6.397303882305689e-14,0.9999992876908834,7.123090526306441e-07
0.226,4.685637259204305e-14,0.9999994265330313,5.734669218382393e-07
0.227,3.428140624178911e-14,0.9999995389454848,4.610544809269257e-07
0.228,2.5053490081881832e-14,0.9999996298289759,3.701709989645252e-07
0.229,1.8289372849701597e-14,0.9999997032019495,2.967980321511021e-07
0.23,1.3336801091415483e-14,0.9999997623540754,2.3764591128294654e-07
0.231,9.714670952260301e-15,0.9999998099742023,1.9002578788285263e-07
0.232,7.068533661202894e-15,0.999999848256603,1.517433898534648e-07
0.233,5.137556466136456e-15,0.9999998789891957,1.210107991589382e-07
0.234,3.730019743970626e-15,0.9999999036264883,9.637350795177468e-08
0.235,2.705166965620701e-15,0.9999999233499208,7.66500765081446e-08
0.236,1.9597767227462392e-15,0.9999999391177521,6.088224591138669e-08
0.237,1.4182402871397287e-15,0.9999999517059017,4.8294096832712796e-08
0.238,1.025238362799849e-15,0.9999999617417834,3.8258215595554645e-08
0.239,7.4034264620637415e-16,0.9999999697319463,3.026805295291979e-08
0.24,5.340410369326464e-16,0.9999999760847246,2.3915274871555425e-08
0.241,3.848145398745954e-16,0.9999999811288087,1.8871190943237082e-08
0.242,2.7699013751212086e-16,0.999999985128405,1.4871594733456561e-08
0.243,1.991655029927127e-16,0.9999999882955081,1.1704491709174647e-08
0.244,1.4305461540724908e-16,0.9999999908000291,9.199970785189748e-09
0.245,1.0264280701661825e-16,0.9999999927779598,7.222040077081715e-09
0.246,7.35690213561134e-17,0.9999999943379353,5.662064594957883e-09
0.247,5.267470974261456e-17,0.9999999955666221,4.433377887025358e-09
0.248,3.767479668663703e-17,0.9999999965331152,3.4668847792573843e-09
0.249,2.6917959585189097e-17,0.9999999972923637,2.7076363373623735e-09
0.25,1.9212180057775622e-17,0.999999997888016,2.1119840321048855e-09
0.251,1.3697940334500256e-17,0.9999999983547271,1.6452729179050607e-09
0.252,9.756157457894285e-18,0.9999999987199139,1.2800861481920833e-09
0.253,6.941415143346634e-18,0.9999999990052894,9.947106471841494e-10
0.254,4.933597132325981e-18,0.9999999992280234,7.719765937608258e-10
0.255,3.5028902665293444e-18,0.9999999994016289,5.983711304224926e-10
0.256,2.484490199878701e-18,0.9999999995367781,4.6322190527803286e-10
0.257,1.7603403773167434e-18,0.9999999996418454,3.581546170750016e-10
0.258,1.245963451186353e-18,0.9999999997234215,2.7657853785001407e-10
0.259,8.809756594007089e-19,0.9999999997866879,2.1331214572484214e-10
0.26,6.222617637299414e-19,0.9999999998356811,1.6431889182655368e-10
0.261,4.390697826527534e-19,0.9999999998735816,1.2641843127880747e-10
0.262,3.0948942973772143e-19,0.9999999999028621,9.713785331655345e-11
